click	 show	 CTR % campId	 advId	                           user	
    3	   14	 21.43     1	    2	                   113_1_18_1_2
    0	    6	 0.00      1	    2	                   113_0_22_1_2
    1	   12	 8.33      1	    2	                   113_1_36_1_2
    0	   16	 0.00      1	    2	                   113_0_32_1_2
    0	    7	 0.00      1	    2	                   113_1_25_1_2
    3	   17	 17.65     1	    2	                   113_0_27_1_2
    1	   11	 9.09      1	    2	                   113_1_33_1_2
    1	   10	 10.00     1	    2	                   113_1_31_1_2
    1	   10	 10.00     1	    2	                   113_0_31_1_2
    1	   11	 9.09      1	    2	                   113_1_34_1_2
    1	    9	 11.11     2	    1	                   113_0_22_2_1
    1	   19	 5.26      2	    1	                   113_0_23_2_1
    3	   16	 18.75     2	    1	                   113_1_31_2_1
    1	   12	 8.33      2	    1	                   113_1_27_2_1
    2	   12	 16.67     2	    1	                   113_1_32_2_1
    1	    9	 11.11     2	    1	                   113_1_24_2_1
    3	   10	 30.00     2	    1	                   113_0_20_2_1
    1	   20	 5.00      2	    1	                   113_0_31_2_1
    1	   10	 10.00     2	    1	                   113_1_36_2_1
    8	   19	 42.11     2	    1	                   113_0_18_2_1
    0	   18	 0.00      2	    1	                   113_1_33_2_1
    2	   14	 14.29     2	    1	                   113_1_22_2_1
    1	   16	 6.25      2	    1	                   113_0_35_2_1
    0	   16	 0.00      2	    1	                   113_1_34_2_1
    1	   16	 6.25      2	    1	                   113_0_36_2_1
    2	   19	 10.53     2	    1	                   113_1_23_2_1
    0	   13	 0.00      2	    1	                   113_1_26_2_1
    0	   15	 0.00      2	    1	                   113_1_29_2_1
    1	   14	 7.14      2	    1	                   113_0_33_2_1
    1	   10	 10.00     2	    1	                   113_1_28_2_1
    1	   14	 7.14      2	    1	                   113_0_26_2_1
    5	   11	 45.45     2	    1	                   113_1_20_2_1
    2	   17	 11.76     2	    1	                   113_0_30_2_1
    1	   12	 8.33      2	    1	                   113_0_24_2_1
    1	   11	 9.09      2	    1	                   113_0_29_2_1
    1	   12	 8.33      2	    1	                   113_1_19_2_1
    0	    9	 0.00      2	    1	                   113_0_21_2_1
    0	   16	 0.00      2	    1	                   113_0_34_2_1
    2	   14	 14.29     2	    1	                   113_1_18_2_1
    2	   16	 12.50     2	    1	                   113_0_19_2_1
    0	   11	 0.00      2	    1	                   113_1_35_2_1
    0	   10	 0.00      2	    1	                   113_1_21_2_1
    3	   14	 21.43     2	    1	                   113_0_27_2_1
    1	    7	 14.29     2	    1	                   113_1_30_2_1
    0	   13	 0.00      2	    1	                   113_0_28_2_1
    1	    9	 11.11     2	    1	                   113_0_32_2_1
    0	   10	 0.00      2	    1	                   113_1_25_2_1
    1	   14	 7.14      2	    1	                   113_0_25_2_1
    1	    7	 14.29     2	    2	                   113_0_29_2_2
    0	   11	 0.00      2	    2	                   113_0_27_2_2
    1	   17	 5.88      2	    2	                   113_0_32_2_2
    1	   15	 6.67      2	    2	                   113_1_31_2_2
    0	    9	 0.00      2	    2	                   113_0_21_2_2
    2	   11	 18.18     2	    2	                   113_1_22_2_2
    0	   15	 0.00      2	    2	                   113_1_36_2_2
    1	   15	 6.67      2	    2	                   113_1_20_2_2
    2	   18	 11.11     2	    2	                   113_1_21_2_2
    0	   11	 0.00      2	    2	                   113_0_31_2_2
    3	   12	 25.00     2	    2	                   113_1_19_2_2
    1	    8	 12.50     2	    2	                   113_0_23_2_2
    0	   14	 0.00      2	    2	                   113_1_27_2_2
    0	   12	 0.00      2	    2	                   113_0_26_2_2
    0	   13	 0.00      2	    2	                   113_1_26_2_2
    0	    8	 0.00      2	    2	                   113_1_25_2_2
    1	   16	 6.25      2	    2	                   113_1_30_2_2
    0	    6	 0.00      2	    2	                   113_0_18_2_2
    0	   16	 0.00      2	    2	                   113_0_36_2_2
    2	    9	 22.22     2	    2	                   113_1_32_2_2
    0	   21	 0.00      2	    2	                   113_0_34_2_2
    0	   14	 0.00      2	    2	                   113_1_23_2_2
    1	   15	 6.67      2	    2	                   113_1_28_2_2
    0	   18	 0.00      2	    2	                   113_0_20_2_2
    2	   14	 14.29     2	    2	                   113_1_29_2_2
    3	   12	 25.00     2	    2	                   113_1_18_2_2
    0	   14	 0.00      2	    2	                   113_0_33_2_2
    0	   12	 0.00      2	    2	                   113_1_34_2_2
    0	   11	 0.00      2	    2	                   113_0_30_2_2
    0	   16	 0.00      2	    2	                   113_0_25_2_2
    0	   13	 0.00      2	    2	                   113_0_35_2_2
    0	   10	 0.00      2	    2	                   113_0_24_2_2
    0	    9	 0.00      2	    2	                   113_0_22_2_2
    1	   13	 7.69      2	    2	                   113_1_35_2_2
    1	   15	 6.67      2	    2	                   113_0_19_2_2
    5	   15	 33.33     2	    2	                   113_0_28_2_2
    4	   12	 33.33     2	    2	                   113_1_24_2_2
    3	   17	 17.65     2	    2	                   113_1_33_2_2
